Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2025-10-01 00:00:00-04:00,25.29212760925293,25.29212760925293,25.29212760925293,25.29212760925293,100,0.0,0.0,LOTI
2025-10-02 00:00:00-04:00,25.21723747253418,25.21723747253418,25.21723747253418,25.21723747253418,100,0.0,0.0,LOTI
2025-10-03 00:00:00-04:00,25.302112579345703,25.302112579345703,25.302112579345703,25.302112579345703,100,0.0,0.0,LOTI
2025-10-06 00:00:00-04:00,25.242202758789062,25.242202758789062,25.242202758789062,25.242202758789062,100,0.0,0.0,LOTI
2025-10-07 00:00:00-04:00,25.312097549438477,25.312097549438477,25.312097549438477,25.312097549438477,0,0.0,0.0,LOTI
2025-10-08 00:00:00-04:00,25.340055465698242,25.340055465698242,25.340055465698242,25.340055465698242,100,0.0,0.0,LOTI
2025-10-09 00:00:00-04:00,25.32208281659544,25.32208281659544,25.2751522064209,25.2751522064209,100,0.0,0.0,LOTI
2025-10-10 00:00:00-04:00,25.316091537475586,25.316091537475586,25.316091537475586,25.316091537475586,100,0.0,0.0,LOTI
2025-10-13 00:00:00-04:00,25.300113677978516,25.300113677978516,25.300113677978516,25.300113677978516,0,0.0,0.0,LOTI
2025-10-14 00:00:00-04:00,25.44489860534668,25.44489860534668,25.44489860534668,25.44489860534668,0,0.0,0.0,LOTI
2025-10-15 00:00:00-04:00,25.401962280273438,25.401962280273438,25.401962280273438,25.401962280273438,100,0.0,0.0,LOTI
2025-10-16 00:00:00-04:00,25.36901092529297,25.36901092529297,25.36901092529297,25.36901092529297,0,0.0,0.0,LOTI
2025-10-17 00:00:00-04:00,25.421932487128643,25.462871551513672,25.421932487128643,25.462871551513672,40300,0.0,0.0,LOTI
2025-10-20 00:00:00-04:00,25.51679008371847,25.526775360107422,25.51679008371847,25.526775360107422,400,0.0,0.0,LOTI
2025-10-21 00:00:00-04:00,25.481843486954283,25.4968204498291,25.481843486954283,25.4968204498291,64700,0.0,0.0,LOTI
2025-10-22 00:00:00-04:00,25.55173898835836,25.55173898835836,25.518787384033203,25.518787384033203,132800,0.0,0.0,LOTI
2025-10-23 00:00:00-04:00,25.481844037107074,25.481844037107074,25.416940689086914,25.416940689086914,58000,0.0,0.0,LOTI
2025-10-24 00:00:00-04:00,25.481843583841833,25.481843583841833,25.468862533569336,25.468862533569336,46200,0.0,0.0,LOTI
2025-10-27 00:00:00-04:00,25.481844011691113,25.5417537689209,25.481844011691113,25.5417537689209,1800,0.0,0.0,LOTI
2025-10-28 00:00:00-04:00,25.471857414598855,25.501813243909638,25.410947799682617,25.410947799682617,11800,0.0,0.0,LOTI
2025-10-29 00:00:00-04:00,25.31209705005449,25.31209705005449,25.17929458618164,25.17929458618164,13600,0.0,0.0,LOTI
2025-10-30 00:00:00-04:00,25.262171560040375,25.28214211381672,25.23221763387269,25.23720932006836,19800,0.0,0.0,LOTI
2025-10-31 00:00:00-04:00,25.17230642494833,25.185287475585938,25.17230642494833,25.185287475585938,46500,0.0,0.0,LOTI
