trailingPegRatio,ticker,phone,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,twoHundredDayAverage,navPrice,currency,tradeable,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,longName,corporateActions,regularMarketTime,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,sourceInterval,exchangeDataDelayedBy,cryptoTradeable,regularMarketChangePercent,regularMarketPrice,marketState,shortName,hasPrePostMarketData,firstTradeDateMilliseconds,regularMarketChange,regularMarketDayRange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendYield,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,epsTrailingTwelveMonths,ipoExpectedDate,trailingAnnualDividendRate,trailingAnnualDividendYield,dividendDate,sharesOutstanding,bookValue,marketCap,priceToBook,financialCurrency,currentPrice,recommendationKey,displayName,prevName,nameChangeDate,forwardPE,epsForward,earningsTimestampStart,earningsTimestampEnd,address1,city,state,zip,country,industry,industryKey,sector,sectorKey,profitMargins,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,grossMargins,ebitdaMargins,operatingMargins,fax,heldPercentInsiders,heldPercentInstitutions,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,epsCurrentYear,priceEpsCurrentYear,averageAnalystRating,address2,website,trailingEps,newSymbol
,2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCG,630-241-4141,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts and MLP units and other securities that comprise the index. The index is designed to track the performance of mid and large capitalization companies that derive a substantial portion of their revenues from midstream activities and/or the exploration and production of natural gas.",[],[],86400.0,2.0,23.27,23.24,23.15,23.32,23.27,23.24,23.15,23.32,12.388249,115190.0,115190.0,760627.0,974680.0,974680.0,23.2,23.21,1700.0,8600.0,0.0254,436157472.0,18.81,27.17,162.7,3.73,23.4134,23.1632,24.07,USD,False,Equity Energy,1.93826,0.58,First Trust,1178582400.0,Exchange Traded Fund,0.0272801,0.2391292,ETF,FCG,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,First Trust Natural Gas ETF,[],1766761711.0,PCX,finmb_34335545,America/New_York,EST,-18000000.0,us_market,False,-0.2684002,-0.0114635285,-0.01819992,-0.00078572566,0.57,15.0,0.0,False,-0.5371723,23.145,REGULAR,First Trust Natural Gas ETF,True,1178890200000.0,-0.125,23.15 - 23.32,NYSEArca,760627.0,4.335001,0.23046258,18.81 - 27.17,-4.0249996,-0.14814132,-2.2268891,2.54,2.76407,2.76407,436157472.0,1.8683028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCLD,,"The fund normally invests at least 80% of the fund's assets in securities included in the index and in depositary receipts representing securities included in the index. The index is designed to reflect the performance of a global universe of companies across the market capitalization spectrum that provide products or services enabling the increased adoption of cloud computing, characterized by the delivery of computing services over the internet. The fund is non-diversified.",[],[],86400.0,2.0,30.09,30.14,30.0436,30.17,30.09,30.14,30.0436,30.17,37.697292,864.0,864.0,11459.0,13310.0,13310.0,30.12,30.19,600.0,500.0,0.0002,88150712.0,20.0,31.93,31.93,13.195,30.04652,27.774734,30.0041,USD,False,Technology,7.04238,1.46,Fidelity Investments,1633392000.0,Exchange Traded Fund,0.24960251,,ETF,FCLD,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Fidelity Cloud Computing ETF,[],1766760405.0,BTS,finmb_1676742588,America/New_York,EST,-18000000.0,us_market,False,0.09347916,0.0031111476,2.365265,0.08515887,0.39,15.0,0.0,False,0.16616562,30.14,REGULAR,Fidelity Cloud Computing ETF,True,1633613400000.0,0.049999237,30.0436 - 30.17,Cboe US,11459.0,10.139999,0.50699997,20.0 - 31.93,-1.7900009,-0.05606016,7.234502,0.02,3.02856,3.02856,88150712.0,0.79952693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCOM,,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Communication Services 25/50 Index, which represents the performance of the communication services sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Communication Services 25/50 Index. The fund is non-diversified.",[],[],86400.0,2.0,73.57,73.52,73.2701,73.5401,73.57,73.52,73.2701,73.5401,19.65162,9624.0,9624.0,129898.0,86290.0,86290.0,73.42,73.44,700.0,600.0,0.0086,1871774848.0,48.96,73.82,73.82,24.11,70.9996,64.94825,72.48226,USD,False,Communications,24.05068,1.21,Fidelity Investments,1382313600.0,Exchange Traded Fund,0.3217219,0.1092233,ETF,FCOM,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Fidelity MSCI Communication Services Index ETF,[],1766761713.0,PCX,finmb_243638574,America/New_York,EST,-18000000.0,us_market,False,2.3203964,0.032681823,8.37175,0.12889877,0.084,15.0,0.0,False,-0.33990481,73.32,REGULAR,Fidelity MSCI Communication Ser,True,1382621400000.0,-0.25,73.2701 - 73.5401,NYSEArca,129898.0,24.36,0.49754903,48.96 - 73.82,-0.5,-0.006773232,23.378586,0.86,6.32939,6.32939,1871774850.0,3.73099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCOR,617-563-7000,The fund Normally invests at least 80% of assets in corporate bonds and other corporate debt securities and repurchase agreements for those securities. Corporate debt securities are bonds and other debt securities issued by corporations and other business structures to borrow money.,[],[],86400.0,2.0,48.17,48.24,48.1601,48.2399,48.17,48.24,48.1601,48.2399,,4289.0,4289.0,35567.0,34410.0,34410.0,48.17,48.22,300.0,300.0,0.044,298466176.0,45.0,48.79,58.2,42.3,48.14154,47.381924,47.77754,USD,False,Corporate Bond,8.4399,1.12,Fidelity Investments,1412553600.0,Exchange Traded Fund,0.0570869,0.0010149999,ETF,FCOR,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Fidelity Corporate Bond ETF,[],1766761208.0,PCX,finmb_270037179,America/New_York,EST,-18000000.0,us_market,False,0.0634613,0.0013182234,0.82307816,0.017371142,0.36,15.0,0.0,False,0.072666936,48.205,REGULAR,Fidelity Corporate Bond ETF,True,1412861400000.0,0.035003662,48.1601 - 48.2399,NYSEArca,35567.0,3.2050018,0.07122226,45.0 - 48.79,-0.5849991,-0.011990143,3.7252426,4.4,2.6114,2.6114,298466176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCPI,,"The fund normally invests at least 80% of its assets in securities included in the Fidelity Stocks for Inflation Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with attractive valuations, high quality profiles and positive momentum signals, emphasizing industries that tend to outperform in inflationary environments.",[],[],86400.0,2.0,50.84,50.88,50.875,50.875,50.84,50.88,50.875,50.875,19.635063,1205.0,1205.0,10853.0,13320.0,13320.0,50.87,50.92,2100.0,900.0,0.013099999,247486128.0,37.33,50.919,50.919,16.589,49.97732,46.935226,50.25649,USD,False,Large Blend,17.93214,0.92,Fidelity Investments,1572912000.0,Exchange Traded Fund,0.1783877,0.1672906,ETF,FCPI,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Fidelity Stocks for Inflation ETF,[],1766760875.0,BTS,finmb_643262762,America/New_York,EST,-18000000.0,us_market,False,0.8976784,0.017961714,3.9397736,0.083940655,0.15,15.0,0.0,False,0.068843134,50.875,REGULAR,Fidelity Stocks for Inflation E,True,1573137000000.0,0.034999847,50.875 - 50.875,Cboe US,10853.0,13.544998,0.36284482,37.33 - 50.919,-0.04399872,-0.0008640924,16.020084,1.31,5.41561,5.41561,247486128.0,2.591028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCSH,412-288-1900,"The fund primarily invests in a diversified portfolio of investment-grade, fixed-income securities consisting primarily of corporate debt securities. Corporate debt securities, including notes, bonds, debentures and commercial paper, are fixed income securities usually issued by businesses to finance their operations. The fund will invest its assets so that at least 80% of its net assets (plus any borrowings for investment purposes) are invested in corporate fixed-income investments.",[],[],86400.0,2.0,24.4987,24.49,24.4987,24.53,24.4987,24.49,24.4987,24.53,,7.0,7.0,2343.0,6860.0,6860.0,24.5,24.52,500.0,500.0,0.0446,62764368.0,23.85,24.64,25.11,22.69,24.46874,24.322174,24.41,USD,False,Short-Term Bond,6.1145,0.41,Federated,1639612800.0,Exchange Traded Fund,0.0531717,,ETF,FCSH,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Federated Hermes Short Duration Corporate ETF,[],1766760405.0,PCX,finmb_1679099559,America/New_York,EST,-18000000.0,us_market,False,0.029958725,0.0012243673,0.17652512,0.007257785,0.3,15.0,0.0,False,0.0,24.4987,REGULAR,Federated Hermes Short Duration,True,1639751400000.0,0.0,24.4987 - 24.53,NYSEArca,2343.0,0.6486988,0.027199112,23.85 - 24.64,-0.1413002,-0.005734586,1.7611623,4.46,1.21288,1.21288,62764368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCTE,,"The fund is actively managed and typically owns 20 domestic stocks that are normally included in the S&P 500 Index (“S&P 500”). The FCT strategy is based on a proprietary model developed by 3Fourteen that selects stocks based on quality stock screens and trend factors such as return on capital and cash flow stability, earnings growth, return on investment, momentum, linear regression and trend analysis. The fund is non-diversified.",[],[],86400.0,2.0,25.412,25.33,25.33,25.45,25.412,25.33,25.33,25.45,31.864496,15169.0,15169.0,84600.0,32670.0,32670.0,22.96,26.6,2.0,2.0,0.0018000001,226933504.0,21.55,27.74,28.25,21.55,25.00508,25.663534,24.92,USD,False,Large Blend,-3.64955,0.0,3fourteensmi,1719792000.0,Exchange Traded Fund,,,ETF,FCTE,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,SMI 3Fourteen Full-Cycle Trend ETF,[],1766761270.0,NGM,finmb_1878289125,America/New_York,EST,-18000000.0,us_market,False,0.43492126,0.017393317,-0.22353363,-0.0087101655,0.85,15.0,0.0,False,0.11018368,25.44,REGULAR,SMI 3Fourteen Full-Cycle Trend ,True,1719927000000.0,0.027999878,25.33 - 25.45,NasdaqGM,84600.0,3.8900013,0.1805105,21.55 - 27.74,-2.2999992,-0.082912736,-3.4561336,0.18,-4.47419,-4.47419,226933504.0,0.79838073,2024-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCTR,630-241-4141,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index selects securities from four single factor-oriented indexes based on the index Provider's proprietary capital factor allocation methodology. The fund is non-diversified.,[],[],86400.0,2.0,36.371,36.26,36.26,36.26,36.371,36.26,36.26,36.26,35.916355,103.0,103.0,3527.0,1760.0,1760.0,36.22,36.29,600.0,1000.0,0.0057,54433536.0,27.46,36.752,36.97,14.72,35.3438,33.693127,35.95,USD,False,Large Blend,6.86039,1.18,First Trust,1532476800.0,Exchange Traded Fund,0.0848196,0.049507,ETF,FCTR,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,First Trust Lunt U.S. Factor Rotation ETF,[],1766761208.0,BTS,finmb_568900635,America/New_York,EST,-18000000.0,us_market,False,1.0271988,0.029063055,2.6778717,0.07947828,0.65,15.0,0.0,False,0.0,36.371,REGULAR,First Trust Lunt U.S. Factor Ro,True,1533216600000.0,0.0,36.26 - 36.26,Cboe US,3527.0,8.910999,0.32450837,27.46 - 36.752,-0.38100052,-0.010366797,9.182882,0.57,2.37809,2.37809,54433536.0,1.0126584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCUS,,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective primarily by investing in a focused portfolio of U.S. equity securities. The fund's manager manages its portfolio based on its proprietary model. The fund’s portfolio excludes certain equity securities, such as limited partnerships, closed-end investment companies, and warrants. It is non-diversified.",[],[],86400.0,2.0,33.5414,33.5287,33.5287,33.5414,33.5414,33.5287,33.5287,33.5414,44.103886,11.0,11.0,19019.0,11210.0,11210.0,33.32,33.39,100.0,1000.0,0.0921,45952196.0,19.52,35.52,38.02,19.52,32.72778,27.712885,32.4189,USD,False,Mid-Cap Growth,14.10306,0.0,Pinnacle,1672185600.0,Exchange Traded Fund,,,ETF,FCUS,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,Pinnacle Focused Opportunities ETF,[],1766760405.0,PCX,finmb_1818637720,America/New_York,EST,-18000000.0,us_market,False,0.8136215,0.024860272,5.828516,0.21031791,0.79,15.0,0.0,False,0.0,33.5414,REGULAR,Pinnacle Focused Opportunities ,True,1672410600000.0,0.0,33.5287 - 33.5414,NYSEArca,19019.0,14.0214,0.71830946,19.52 - 35.52,-1.9785995,-0.055703815,13.621271,9.21,19.81296,19.81296,45952196.0,0.76050895,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
