trailingPegRatio,ticker,phone,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,twoHundredDayAverage,navPrice,currency,tradeable,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,corporateActions,hasPrePostMarketData,firstTradeDateMilliseconds,regularMarketChange,regularMarketDayRange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendYield,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,shortName,longName,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,sourceInterval,exchangeDataDelayedBy,cryptoTradeable,marketState,regularMarketTime,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,trailingPE,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,ipoExpectedDate,dividendDate,address1,address2,city,state,zip,country,industry,industryKey,sector,sectorKey,profitMargins,52WeekChange,SandP52WeekChange,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,fax,website,sharesOutstanding,marketCap,priceToBook,financialCurrency,bookValue,earningsTimestampStart,earningsTimestampEnd,displayName,forwardPE,epsForward,lastDividendValue,lastDividendDate,heldPercentInsiders,heldPercentInstitutions,isEarningsDateEstimate,error
,2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAA,(414) 299-2295,"The fund is an actively-managed exchange-traded fund (“ETF”). Under normal circumstances, it invests at least 80% of its net assets (plus any borrowings for investment purposes) in AAA rated first priority debt tranches of U.S. dollar-dominated collateralized loan obligations (“CLOs”). It may invest in CLOs of any maturity. The fund is actively managed and does not seek to track the performance of any particular index.",[],[],86400.0,2.0,24.96,25.0,24.92,25.0099,24.96,25.0,24.92,25.0099,14828.0,14828.0,11053.0,10070.0,10070.0,24.92,25.01,100.0,500.0,0.053400002,42419236.0,24.33,25.4,25.4,24.03,25.02566,24.98855,25.0031,USD,False,Ultrashort Bond,3.84318,0.03,Alternative Access Funds,1599523200.0,Exchange Traded Fund,0.0725381,0.0422748,ETF,AAA,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1599658200000.0,0.049900055,24.92 - 25.0099,NYSEArca,11053.0,0.6798992,0.027944893,24.33 - 25.4,-0.39010048,-0.015358287,-0.53795576,5.34,1.3178,1.3178,42419236.0,Alternative Access First Priori,Alternative Access First Priority CLO Bond ETF,-0.015760422,-0.0006297705,0.021348953,0.0008543494,0.25,15.0,0.0,False,REGULAR,1764704214.0,PCX,finmb_668662879,America/New_York,EST,-18000000.0,us_market,False,0.20040102,25.0099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAAA,,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to provide disciplined asset allocation to equity securities, fixed income ETFs, and downside protection ETFs. The Sub-Adviser generally will allocate between 60% and 100% of the fund’s net assets to equity securities, which includes common stocks, preferred stocks, and other ETFs that provide such equity exposure (the “Equity Sleeve”). The fund is non-diversified.",[],[],86400.0,2.0,27.32,27.41,27.32,27.41,27.32,27.41,27.32,27.41,1324.0,1324.0,6893.0,11680.0,11680.0,27.39,27.4,100.0,1000.0,,235662112.0,24.87,27.52,27.52,24.87,26.91112,26.359083,26.8831,USD,False,Aggressive Allocation,,0.0,Amplius,1752537600.0,Exchange Traded Fund,,,ETF,AAAA,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1752672600000.0,0.09000015,27.32 - 27.41,Cboe US,6893.0,2.539999,0.10213104,24.87 - 27.52,-0.11000061,-0.003997115,8.820831,,,,235662112.0,Amplius Aggressive Asset Alloca,Amplius Aggressive Asset Allocation ETF,0.4988804,0.018538076,1.0509167,0.03986924,0.49,15.0,0.0,False,REGULAR,1764705465.0,BTS,finmb_1931194975,America/New_York,EST,-18000000.0,us_market,False,0.32942954,27.41,26.350231,0.0,0.0,1.0402186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAAU,,The trust holds London Bars and Physical Gold of other specifications without numismatic value. It receives gold deposited by Authorized Participants in exchange for the creation of Baskets and delivers gold to Authorized Participants in exchange for Baskets surrendered to it for redemption.,[],[],86400.0,2.0,41.83,41.72,41.09,41.7498,41.83,41.72,41.09,41.7498,1740241.0,1740241.0,2923720.0,2759770.0,2759770.0,41.42,41.43,30900.0,28200.0,0.0,1969759232.0,25.56,43.26,43.26,11.74,39.7952,34.182,42.39,USD,False,Commodities Focused,46.33863,0.46,Goldman Sachs,1532390400.0,Exchange Traded Fund,0.3885307,0.1784603,ETF,AAAU,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1534339800000.0,-0.3900032,41.09 - 41.7498,Cboe US,2923720.0,15.879999,0.62128323,25.56 - 43.26,-1.8199997,-0.042071193,60.145485,0.0,16.32276,16.32276,1969759230.0,Goldman Sachs Physical Gold ETF,Goldman Sachs Physical Gold ETF,1.6447983,0.041331574,7.2579994,0.21233396,0.18,15.0,0.0,False,REGULAR,1764707175.0,BTS,finmb_552599180,America/New_York,EST,-18000000.0,us_market,False,-0.93235284,41.44,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AADR,(202) 684-6383,"The fund seeks to achieve the fund's investment objective by selecting primarily a portfolio of U.S.-traded securities of non-U.S. organizations, most often American Depositary Receipts (""ADRs""). It will invest at least 80% of its total assets in ADRs and in securities that have economic characteristics similar to ADRs.",[],[],86400.0,2.0,84.99,85.34,84.93,85.5224,84.99,85.34,84.93,85.5224,1002.0,1002.0,2831.0,2160.0,2160.0,61.19,109.65,1.0,1.0,0.0036000002,45870348.0,61.52,87.64,87.64,24.62,84.6588,79.4794,85.09618,USD,False,Foreign Large Growth,25.60845,0.87,AdvisorShares,1279584000.0,Exchange Traded Fund,0.2551692,0.096725196,ETF,AADR,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1279719000000.0,-0.05999756,84.93 - 85.5224,NasdaqGM,2831.0,23.41,0.38052666,61.52 - 87.64,-2.709999,-0.030921943,23.511517,0.36,10.00853,10.00853,45870348.0,AdvisorShares Dorsey Wright,AdvisorShares Dorsey Wright ADR ETF,0.2712021,0.003203472,5.4505997,0.06857877,1.1,15.0,0.0,False,REGULAR,1764706234.0,NGM,finmb_109691817,America/New_York,EST,-18000000.0,us_market,False,-0.07059367,84.93,14.575749,,,5.826802,2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AALG,,"The fund is an actively managed ETF. The fund invests at least 80% of its net assets (plus borrowings for investment purposes) in financial instruments with economic characteristics that, in combination, provide 200% daily leveraged exposure to the price of AAL, consistent with the fund’s investment objective. The fund is non-diversified.",[],[],86400.0,2.0,15.46,15.2583,14.93,15.93,15.46,15.2583,14.93,15.93,25901.0,25901.0,26526.0,13090.0,13090.0,11.49,19.32,1.0,1.0,,940717.0,10.16,16.52,16.52,10.16,12.64074,13.02181,12.0833,USD,False,Trading--Leveraged Equity,,0.0,Themes ETF Trust,1752105600.0,Exchange Traded Fund,,,ETF,AALG,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1752240600000.0,0.4300003,14.93 - 15.93,NasdaqGM,26526.0,5.7300005,0.5639764,10.16 - 16.52,-0.6300001,-0.0381356,13.391256,,,,940717.0,Leverage Shares 2X Long AAL Dai,Leverage Shares 2X Long AAL Daily ETF,3.24926,0.25704664,2.8681908,0.22026053,0.75,15.0,0.0,False,REGULAR,1764706745.0,NGM,finmb_1918143089,America/New_York,EST,-18000000.0,us_market,False,2.7813733,15.89,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPB,,The fund is an actively managed exchange traded fund that attempts to replicate 2 times (200%) the daily percentage change of the underlying stock by entering into financial instruments such as swaps and options on the underlying stock as well as directly purchasing the underlying stock. The fund will aim to primarily obtain its notional exposure against the underlying stock through swap agreements. It is non-diversified.,[],[],86400.0,2.0,36.4,36.37,36.37,37.5688,36.4,36.37,36.37,37.5688,59243.0,59243.0,213485.0,75910.0,75910.0,27.03,46.92,1.0,1.0,0.0,35995188.0,14.5,37.5688,36.59,14.25,31.8672,25.12083,31.58,USD,False,Trading--Leveraged Equity,-11.19005,1.8,Graniteshares,1659916800.0,Exchange Traded Fund,0.2535579,,ETF,AAPB,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1660138200000.0,0.97999954,36.37 - 37.5688,NasdaqGM,213485.0,22.880001,1.5779312,14.5 - 37.5688,-0.18880081,-0.005025468,13.973713,0.0,48.9573,48.9573,35995188.0,GraniteShares 2x Long AAPL Dail,GraniteShares 2x Long AAPL Daily ETF,5.5128,0.17299293,12.259171,0.48800817,1.15,15.0,0.0,False,REGULAR,1764706556.0,NGM,finmb_1780713212,America/New_York,EST,-18000000.0,us_market,False,2.6923063,37.38,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPD,866-476-7523,"The fund, under normal circumstances, invests at least 80% of the fund’s net assets (plus borrowings for investment purposes) in financial instruments, including swap agreements and options, that, in combination, provide 1X daily inverse (opposite) or short exposure to AAPL, consistent with the fund’s investment objective. It is non-diversified.",[],[],86400.0,2.0,12.63,12.645,12.4501,12.66,12.63,12.645,12.4501,12.66,1786015.0,1786015.0,2020552.0,1733510.0,1733510.0,12.48,12.52,1.0,1.0,0.0374,22403788.0,12.4501,21.96,31.59,12.625,13.56568,16.18178,13.593,USD,False,Trading--Inverse Equity,-6.23475,-0.97,Direxion Funds,1659916800.0,Exchange Traded Fund,-0.1883772,,ETF,AAPD,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1660138200000.0,-0.12950039,12.4501 - 12.66,NasdaqGM,2020552.0,0.05039978,0.0040481426,12.4501 - 21.96,-9.459499,-0.43076047,-20.465994,3.74,-19.42334,-19.42334,22403788.0,Direxion Daily AAPL Bear 1X Sha,Direxion Daily AAPL Bear 1X Shares,-1.0651798,-0.07852019,-3.6812801,-0.22749537,1.0,15.0,0.0,False,REGULAR,1764707180.0,NGM,finmb_1791146308,America/New_York,EST,-18000000.0,us_market,False,-1.0253801,12.5005,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPR,(215) 979-3750,The fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in FLexible EXchange® Options that reference the SPDR® S&P 500® ETF Trust. FLEX Options are exchange-traded option contracts with uniquely customizable terms. The fund is non-diversified.,[],[],86400.0,2.0,28.17,28.21,28.19,28.21,28.17,28.21,28.19,28.21,684.0,684.0,2801.0,2720.0,2720.0,28.17,28.24,1200.0,2500.0,0.0,58649396.0,24.93,28.21,28.2,24.26,27.99244,27.137316,28.0273,USD,False,Defined Outcome,5.74776,0.0,Innovator ETFs,1711584000.0,Exchange Traded Fund,,,ETF,AAPR,en-US,US,ETF,Delayed Quote,True,HIGH,[],True,1711978200000.0,0.020000458,28.19 - 28.21,Cboe US,2801.0,3.2600002,0.13076615,24.93 - 28.21,-0.01999855,-0.0007089171,6.321943,0.0,2.41363,2.41363,58649396.0,Innovator Equity Defined Protec,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,0.19756126,0.0070576654,1.0526848,0.03879104,0.79,15.0,0.0,False,REGULAR,1764691686.0,BTS,finmb_1872340668,America/New_York,EST,-18000000.0,us_market,False,0.07099914,28.19,28.386171,,,0.9930892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPU,866-476-7523,"The fund, under normal circumstances, invests at least 80% of its net assets (plus any borrowings for investment purposes) in the securities of AAPL and financial instruments, such as swap agreements and options, that, in combination, provide 2X daily leveraged exposure to AAPL, consistent with the fund’s investment objective. The fund is non-diversified.",[],[],86400.0,2.0,39.27,39.17,39.105,40.4,39.27,39.17,39.105,40.4,1426798.0,1426798.0,2648658.0,2043750.0,2043750.0,29.09,50.45,1.0,1.0,0.1691,246022144.0,15.89,43.099,43.099,15.55,34.3636,27.36765,34.068,USD,False,Trading--Leveraged Equity,-12.42191,1.63,Direxion Funds,1659916800.0,Exchange Traded Fund,0.2760855,,ETF,AAPU,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,[],True,1660051800000.0,0.8199997,39.105 - 40.4,NasdaqGM,2648658.0,24.2,1.5229704,15.89 - 43.099,-3.0089989,-0.06981598,-2.8931737,16.91,48.5437,48.5437,246022144.0,Direxion Daily AAPL Bull 2X Sha,Direxion Daily AAPL Bull 2X Shares,5.7263985,0.1666414,12.722351,0.46486825,0.97,15.0,0.0,False,REGULAR,1764707222.0,NGM,finmb_1793225848,America/New_York,EST,-18000000.0,us_market,False,2.088107,40.09,58.3447,0.0,0.0,0.68712324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
