trailingPegRatio,ticker,phone,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,tradeable,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,hasPrePostMarketData,firstTradeDateMilliseconds,dividendYield,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,epsTrailingTwelveMonths,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,sourceInterval,exchangeDataDelayedBy,cryptoTradeable,corporateActions,postMarketTime,regularMarketTime,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,marketState,shortName,longName,dividendDate,regularMarketChangePercent,regularMarketPrice,ipoExpectedDate,sharesOutstanding,marketCap,financialCurrency,bookValue,priceToBook,forwardPE,epsForward,address1,address2,address3,morningStarOverallRating,morningStarRiskRating,annualReportExpenseRatio,lastDividendValue,lastCapGain,annualHoldingsTurnover,dividendRate,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,exDividendDate,payoutRatio,beta,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendDate,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,grossProfits,grossMargins,ebitdaMargins,operatingMargins,earningsTimestampStart,earningsTimestampEnd,isEarningsDateEstimate,displayName
,018E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAXJ,1-800-474-2737,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization weighted index designed to measure equity market performance of securities from the following 10 developed and emerging market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, the Philippines, Singapore, South Korea, Taiwan and Thailand.",[],[],86400.0,2.0,92.87,92.0,87.98,92.55,92.87,92.0,87.98,92.55,16.74984,1112335.0,1112335.0,518367.0,675700.0,675700.0,89.13,94.92,1.0,1.0,0.0179,3173305856.0,64.33,96.62,102.44,22.0,92.6864,82.2549,0.0,0.0,94.19754,USD,False,Pacific/Asia ex-Japan Stk,27.1893,1.13,iShares,1218585600.0,Exchange Traded Fund,0.2050254,0.052329604,ETF,AAXJ,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,True,1218807000000.0,1.79,10.73184,10.73184,3173305860.0,5.5051274,NasdaqGM,518367.0,27.879997,0.4333903,64.33 - 96.62,-4.4100037,-0.04564276,24.858833,0.0,92.21,0.0,-0.66000366,87.98 - 92.55,-0.47640228,-0.005139937,9.955101,0.121027455,0.72,15.0,0.0,False,[],1763500204.0,1763499600.0,NGM,finmb_47521309,America/New_York,EST,-18000000.0,us_market,False,POST,iShares MSCI All Country Asia e,iShares MSCI All Country Asia ex Japan ETF,1482883200.0,-0.71067476,92.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGEM,215-405-5700,"Under normal circumstances, the fund invests at least 80% of the value of its net assets, plus any borrowings for investment purposes, in equity securities of emerging market companies that pay dividend income. The fund will invest primarily in common stocks but may also invest in other types of equity securities, including, but not limited to, preferred stock and depositary receipts.",[],[],86400.0,2.0,37.4164,36.98,36.98,37.3264,37.4164,36.98,36.98,37.3264,15.115793,9486.0,9486.0,32573.0,5490.0,5490.0,37.82,37.86,1.0,1.0,0.0358,86699040.0,24.213,39.01,39.01,24.213,37.47286,33.151623,,,37.6855,USD,False,Diversified Emerging Mkts,32.35268,1.07,abrdn Funds,942796800.0,Exchange Traded Fund,0.2566317,0.0861218,ETF,AGEM,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,True,1739975400000.0,3.58,12.98469,12.98469,86699040.0,2.4634764,NasdaqGM,32573.0,13.024401,0.53790945,24.213 - 39.01,-1.7725983,-0.04543959,23.853027,0.0,37.19,0.0,-0.17900085,36.98 - 37.3264,-0.23545837,-0.006283438,4.0857773,0.123245165,0.7,15.0,0.0,False,[],1763499853.0,1763499600.0,NGM,finmb_1913236252,America/New_York,EST,-18000000.0,us_market,False,POST,abrdn Emerging Markets Dividend,abrdn Emerging Markets Dividend Active ETF,,-0.4784021,37.2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASIA,,"Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its net assets, which include borrowings for investment purposes, in the common and preferred stocks of companies located in Asia excluding Japan, but including all other developed, emerging, and frontier countries and markets in the Asian region.",[],[],86400.0,2.0,33.3804,33.07,32.93,33.215,33.3804,33.07,32.93,33.215,19.312504,4828.0,4828.0,3050.0,1220.0,1220.0,25.25,41.51,100.0,500.0,0.0046,41631080.0,22.7,35.12,35.12,22.7,33.74552,29.4091,,,33.996,USD,False,Pacific/Asia ex-Japan Stk,26.20311,0.0,Matthews Asia Funds,1695254400.0,Exchange Traded Fund,,,ETF,ASIA,en-US,US,ETF,Delayed Quote,True,HIGH,True,1695648600000.0,0.46,14.26954,14.26954,41631080.0,1.7198702,NYSEArca,3050.0,10.514999,0.46321583,22.7 - 35.12,-1.9049988,-0.054242563,22.76572,0.0,33.215,0.0,-0.165401,32.93 - 33.215,-0.5305214,-0.01572124,3.8059006,0.12941235,0.79,15.0,0.0,False,[],1763507761.0,1763481000.0,PCX,finmb_1847706201,America/New_York,EST,-18000000.0,us_market,False,POST,Matthews International Funds Ma,Matthews Pacific Tiger Active ETF,,-0.495505,33.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVEE,(816) 531-5575,"The fund invests primarily in a diverse group of small cap companies related to emerging markets across market sectors, industry groups and countries. It seeks to invest in securities of companies that the Advisor expects to have higher returns by placing an enhanced emphasis on securities of companies with smaller market capitalizations and securities of companies with higher profitability and value characteristics.",[],[],86400.0,2.0,63.0689,62.55,62.58,62.92,63.0689,62.55,62.58,62.92,14.169215,5758.0,5758.0,5514.0,8070.0,8070.0,62.75,94.24,900.0,900.0,0.025999999,54337068.0,46.33,65.56,65.56,46.33,64.14958,58.712116,,,63.8087,USD,False,Diversified Emerging Mkts,20.63029,0.0,Avantis Investors,1699315200.0,Exchange Traded Fund,,,ETF,AVEE,en-US,US,ETF,Delayed Quote,True,HIGH,True,1699540200000.0,2.6,6.56536,6.56536,54337068.0,4.4307113,NYSEArca,5514.0,16.4497,0.355055,46.33 - 65.56,-2.7802963,-0.042408425,14.001406,0.0,62.7797,0.0,-0.2892,62.58 - 62.92,-1.3698807,-0.021354476,4.067585,0.06928016,0.42,15.0,0.0,False,[],1763507761.0,1763497048.0,PCX,finmb_1852995487,America/New_York,EST,-18000000.0,us_market,False,POST,American Century ETF Trust Avan,Avantis Emerging Markets Small Cap Equity ETF,,-0.458546,62.7797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVEM,(816) 531-5575,"The fund invests primarily in a diverse group of companies related to emerging markets across market sectors, industry groups and countries. The fund may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of companies related to emerging market countries.",[],[],86400.0,2.0,76.6,75.82,75.49,76.2581,76.6,75.82,75.49,76.2581,12.894621,4904791.0,4904791.0,968395.0,806080.0,806080.0,75.98,76.08,200.0,1000.0,0.0269,13450915840.0,52.52,78.76,78.76,35.21,76.0546,67.5754,,,76.7251,USD,False,Diversified Emerging Mkts,28.91547,1.06,Avantis Investors,1568678400.0,Exchange Traded Fund,0.22487949,0.1037393,ETF,AVEM,en-US,US,ETF,Delayed Quote,True,HIGH,True,1568899800000.0,2.69,9.76514,9.76514,13450915800.0,5.8923798,NYSEArca,968395.0,23.460003,0.446687,52.52 - 78.76,-2.7799988,-0.03529709,25.36825,0.0,75.98,0.0,-0.619995,75.49 - 76.2581,-0.07460022,-0.0009808771,8.404602,0.12437369,0.33,15.0,0.0,False,[],1763507761.0,1763499600.0,PCX,finmb_626032720,America/New_York,EST,-18000000.0,us_market,False,POST,Avantis Emerging Markets Equity,Avantis Emerging Markets Equity ETF,,-0.809393,75.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVES,(816) 531-5575,"The fund invests primarily in a diverse group of companies related to emerging markets across market sectors, industry groups and countries. The fund may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of companies related to emerging market countries. The adviser generally intends to focus its investments in a subset of the emerging markets countries that comprise the MSCI Emerging Markets Value IMI Index.",[],[],86400.0,2.0,57.97,57.48,57.24,57.73,57.97,57.48,57.24,57.73,11.062985,68175.0,68175.0,35917.0,54520.0,54520.0,54.35,60.91,400.0,300.0,0.0377,802025728.0,41.68,59.27,59.27,36.71,57.65892,52.443996,,,57.6567,USD,False,Diversified Emerging Mkts,25.37686,1.04,Avantis Investors,1632873600.0,Exchange Traded Fund,0.1976603,,ETF,AVES,en-US,US,ETF,Delayed Quote,True,HIGH,True,1633008600000.0,3.77,7.10612,7.10612,802025730.0,5.2057376,NYSEArca,35917.0,15.910999,0.38174182,41.68 - 59.27,-1.6790009,-0.028328005,18.888437,0.0,57.591,0.0,-0.379002,57.24 - 57.73,-0.067920685,-0.0011779736,5.147003,0.09814285,0.36,15.0,0.0,False,[],1763506922.0,1763499592.0,PCX,finmb_1671654373,America/New_York,EST,-18000000.0,us_market,False,POST,Avantis Emerging Markets Value ,Avantis Emerging Markets Value ETF,,-0.653789,57.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVSE,(816) 531-5575,"The fund invests primarily in a diverse group of companies related to emerging markets across market sectors, industry groups and countries. The fund may invest in companies of all market capitalizations. The portfolio management team limits its investable universe of companies by screening out those that raise concerns based on the team’s evaluation of multiple ESG metrics.",[],[],86400.0,2.0,64.8026,63.95,63.8893,64.3984,64.8026,63.95,63.8893,64.3984,13.338207,2910.0,2910.0,4575.0,3510.0,3510.0,60.72,68.06,1000.0,1000.0,0.0272,158450160.0,45.01,66.51,66.51,37.28,64.36568,57.598866,0.0,0.0,64.8637,USD,False,Diversified Emerging Mkts,27.24388,1.03,Avantis Investors,1648425600.0,Exchange Traded Fund,0.22430749,,ETF,AVSE,en-US,US,ETF,,True,HIGH,True,1648647000000.0,2.72,8.46925,8.46925,158450160.0,4.8175216,NYSEArca,4575.0,19.247105,0.4276184,45.01 - 66.51,-2.2528992,-0.03387309,23.693455,0.0,64.2571,0.0,-0.545494,63.8893 - 64.3984,-0.10857391,-0.0016868294,6.6582375,0.115596674,0.33,15.0,0.0,False,[],1763503500.0,1763498018.0,PCX,finmb_1761086630,America/New_York,EST,-18000000.0,us_market,False,POST,American Century ETF Trust Avan,Avantis Responsible Emerging Markets Equity ETF,,-0.841778,64.2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVXC,(816) 531-5575,"Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of companies related to emerging market countries, excluding those domiciled in China. The fund's managers consider an emerging market country to be any country other than a developed country.",[],[],86400.0,2.0,61.98,61.37,61.37,61.8328,61.98,61.37,61.37,61.8328,13.152866,19488.0,19488.0,13251.0,11390.0,11390.0,44.26,78.77,2.0,1.0,0.0128,171939840.0,43.21,63.54,63.54,43.21,61.19596,54.963234,0.0,0.0,61.7868,USD,False,Diversified Emerging Mkts,21.44059,0.0,Avantis Investors,1710806400.0,Exchange Traded Fund,,,ETF,AVXC,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,True,1711027800000.0,1.28,5.88547,5.88547,171939840.0,4.687746,NasdaqGM,13251.0,18.4473,0.42692202,43.21 - 63.54,-1.8827019,-0.029630184,20.9656,-0.19423285,61.61,-0.11989975,-0.3227005,61.37 - 61.8328,0.46133804,0.007538701,6.694065,0.12179169,0.33,15.0,0.0,False,[],1763499843.0,1763499600.0,NGM,finmb_1858132164,America/New_York,EST,-18000000.0,us_market,False,POST,Avantis Emerging Markets ex-Chi,Avantis Emerging Markets Ex-China Equity ETF,,-0.52065265,61.6573,2024-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BBEM,(800) 480-4111,The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of equity securities from emerging countries or regions.,[],[],86400.0,2.0,64.5039,64.15,64.1201,64.27,64.5039,64.15,64.1201,64.27,14.568968,4363.0,4363.0,106876.0,32430.0,32430.0,64.12,96.18,100.0,700.0,0.026199998,773228352.0,46.76,66.492,66.492,44.65,64.28496,57.89714,0.0,0.0,65.3599,USD,False,Diversified Emerging Mkts,26.21501,0.0,JPMorgan,1683676800.0,Exchange Traded Fund,,,ETF,BBEM,en-US,US,ETF,Delayed Quote,True,HIGH,True,1683811800000.0,2.62,10.00457,10.00457,773228350.0,4.4076424,Cboe US,106876.0,17.4548,0.37328488,46.76 - 66.492,-2.2771988,-0.03424771,22.09729,0.0,64.2148,0.0,-0.289101,64.1201 - 64.27,-0.07015991,-0.0010913892,6.3176575,0.10911864,0.15,15.0,0.0,False,[],1763507761.0,1763496703.0,BTS,finmb_1816394726,America/New_York,EST,-18000000.0,us_market,False,POST,J.P. Morgan Exchange-Traded Fun,JPMorgan Betabuilders Emerging Markets Equity ETF,,-0.448191,64.2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
