DATE,FYFSD
1970-06-30,-2842
1971-06-30,-23033
1972-06-30,-23373
1973-06-30,-14908
1974-06-30,-6135
1975-06-30,-53242
1976-06-30,-73732
1977-09-30,-53659
1978-09-30,-59185
1979-09-30,-40726
1980-09-30,-73830
1981-09-30,-78968
1982-09-30,-127977
1983-09-30,-207802
1984-09-30,-185367
1985-09-30,-212308
1986-09-30,-221227
1987-09-30,-149730
1988-09-30,-155178
1989-09-30,-152639
1990-09-30,-221036
1991-09-30,-269238
1992-09-30,-290321
1993-09-30,-255051
1994-09-30,-203186
1995-09-30,-163952
1996-09-30,-107431
1997-09-30,-21884
1998-09-30,69270
1999-09-30,125610
2000-09-30,236241
2001-09-30,128236
2002-09-30,-157758
2003-09-30,-377585
2004-09-30,-412727
2005-09-30,-318346
2006-09-30,-248181
2007-09-30,-160701
2008-09-30,-458553
2009-09-30,-1412688
2010-09-30,-1294373
2011-09-30,-1299599
2012-09-30,-1076573
2013-09-30,-679775
2014-09-30,-484793
2015-09-30,-441960
2016-09-30,-584650
2017-09-30,-665450
2018-09-30,-779074
2019-09-30,-983588
2020-09-30,-3132456
2021-09-30,-2775350
2022-09-30,-1375920
2023-09-30,-1695240
2024-09-30,-1816790
2025-09-30,-1775357
