Rank,Ticker,Total_Return_%,Annualized_Return_%,Volatility_%,Sharpe_Ratio,Max_Drawdown_%,YTD_Return_%,Current_Price,Data_Points
1,ORR,26.07,31.74,15.44,1.8,-8.64,26.07,32.59,213
2,AGEM,25.71,35.97,19.28,1.66,-15.14,25.71,37.24,190
3,PEMX,69.4,23.79,15.98,1.24,-14.91,26.57,65.58,621
4,SEEM,24.06,21.52,17.7,0.99,-14.34,33.43,30.52,278
5,DFSE,71.75,19.44,16.68,0.93,-19.77,25.99,40.89,764
6,FTHF,57.27,24.78,22.64,0.92,-17.36,50.46,31.22,513
7,EMDM,62.86,19.69,17.5,0.9,-18.81,49.36,30.21,682
8,JPAN,48.32,20.05,18.56,0.86,-15.25,18.91,36.32,542
9,CGNG,24.5,17.03,16.58,0.79,-15.9,25.26,31.14,351
10,NSI,36.04,17.1,17.15,0.76,-18.77,31.01,32.76,489
11,BBEM,43.98,15.53,15.75,0.73,-17.42,28.18,64.21,634
12,STXE,46.26,14.55,14.58,0.72,-18.92,27.7,34.49,704
13,RAYJ,32.05,18.68,21.38,0.69,-15.96,20.11,33.15,409
14,MEMX,45.3,13.99,14.68,0.68,-19.27,24.01,36.12,717
15,AVEE,30.86,14.2,15.85,0.64,-20.21,18.82,62.78,508
16,MEM,58.07,14.65,17.02,0.63,-19.1,25.18,36.2,842
17,XC,50.52,13.83,15.6,0.63,-20.97,15.55,35.24,793
18,AVXC,24.32,13.99,16.03,0.62,-20.44,24.25,61.66,418
19,PPEM,42.15,13.26,16.5,0.56,-18.44,32.03,27.54,710
20,PTL,23.33,13.57,18.1,0.53,-19.72,14.26,241.31,415
21,ASIA,32.39,13.95,18.64,0.53,-23.95,27.46,33.22,541
22,DFEV,48.95,11.84,15.7,0.5,-18.49,29.41,33.0,895
23,FLTW,177.4,13.75,21.12,0.46,-38.0,24.98,58.41,1991
24,INDE,24.81,10.83,15.57,0.44,-22.02,2.05,31.02,541
25,NDIA,25.08,10.44,14.78,0.44,-20.71,3.02,30.1,566
26,OAEM,41.76,11.61,17.87,0.43,-17.05,16.39,34.19,798
27,PAMC,90.61,12.69,20.72,0.42,-27.03,-5.28,43.97,1358
28,VEXC,1.27,10.3,15.27,0.41,-3.08,1.27,77.33,34
29,EMM,29.38,10.79,16.66,0.41,-21.99,20.65,32.34,632
30,DFEM,41.25,10.18,16.4,0.38,-20.82,26.78,32.46,895
31,FRDM,112.34,12.42,22.11,0.38,-40.49,46.06,46.87,1618
32,MKOR,29.53,11.69,20.16,0.38,-22.09,56.07,32.64,590
33,FPX,836.32,12.16,23.13,0.35,-56.29,27.17,153.56,4904
34,BKEM,71.11,10.13,18.74,0.33,-39.48,28.67,73.71,1401
35,AVSE,39.68,9.62,17.12,0.33,-26.28,28.66,64.26,914
36,INEQ,125.34,9.1,16.44,0.31,-40.25,31.72,37.9,2347
37,FV,216.97,10.36,20.76,0.31,-34.04,1.51,59.64,2946
38,GSEE,65.57,9.6,17.8,0.31,-37.51,29.64,56.47,1384
39,EMSF,22.48,9.86,20.36,0.29,-24.75,23.82,30.06,542
40,AVEM,77.19,9.72,20.31,0.28,-36.05,30.76,75.98,1551
41,FJSCX,2517.13,11.64,26.98,0.28,-63.53,24.38,19.44,7459
42,EMCR,84.58,9.22,19.56,0.27,-34.28,30.58,36.42,1748
43,XCEM,145.84,9.21,19.82,0.26,-40.92,26.92,37.62,2569
44,EMC,22.07,8.26,16.78,0.25,-18.38,14.84,29.98,632
